ScenarioId,A* Execution Time Deviation, BFS Execution time, A* Nodes Visited Deviation, BFS Nodes Visited Deviation
1,83,64,304,977
2,76,59,294,928
3,83,55,291,878
4,87,57,303,830
5,79,58,338,776
6,89,57,405,723
7,116,54,553,662
8,171,51,832,577
9,60,63,207,1188
10,56,61,200,1126
11,54,62,198,1066
12,53,61,207,1006
13,57,61,228,941
14,95,60,276,878
15,84,73,373,802
16,119,53,561,698
17,79,59,294,877
18,103,52,443,619
19,148,49,715,382
20,230,50,1212,215
21,384,52,2166,116
22,700,47,4083,61
23,1309,45,7859,32
24,2545,46,15426,16
25,4996,46,30688,9
26,12,7,11,14
27,27,35,29,57
28,27,33,89,223
29,73,58,293,881
30,255,208,1038,3482
31,1053,1424,3875,13930
32,5103,7512,14566,55879
33,2,1,7,16
34,20,17,20,66
35,16,50,60,266
36,52,56,200,1066
37,186,239,706,4251
38,752,1671,2598,17030
39,3609,8909,9842,68069
