ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
1,0,174,133,494,2737
2,5,163,141,464,2597
3,10,144,134,455,2457
4,15,138,136,452,2325
5,20,135,138,463,2181
6,25,142,136,501,2025
7,30,163,132,592,1856
8,35,214,121,798,1616
9,40,200,82,772,1064
ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
1,0,199,163,491,2746
2,5,153,132,463,2598
3,10,159,154,453,2462
4,15,137,136,454,2326
5,20,137,136,468,2185
6,25,140,132,499,2027
7,30,161,127,592,1855
8,35,296,159,804,1612
9,40,261,109,773,1067
