ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
28,0,85,87,246,2045
29,5,82,97,231,1946
30,10,75,94,231,1858
31,15,72,97,224,1738
32,20,74,99,236,1644
33,25,80,103,252,1521
34,30,108,118,295,1397
35,35,122,89,398,1205
36,40,98,54,352,728
ScenarioId,Obstacle percentage,A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
28,0,92,99,247,2057
29,5,78,95,230,1945
30,10,80,104,230,1859
31,15,88,126,222,1729
32,20,79,110,234,1631
33,25,87,113,252,1527
34,30,91,99,296,1389
35,35,127,94,402,1213
36,40,103,56,349,723
