A* Execution Time,BFS Execution Time,A* Nodes Visited,BFS Nodes Visited
265,54,1433,974
110,43,546,798
60,29,266,533
108,26,521,476
60,21,337,384
19,17,78,296
78,41,329,814
212,47,1056,903
28,21,123,354
52,34,253,651
83,36,363,672
50,31,260,591
104,35,460,655
97,29,545,545
216,47,1146,950
12,10,55,139
32,13,102,200
34,28,161,547
77,34,450,651
17,13,77,235
84,24,320,451
26,41,94,603
130,34,848,671
279,47,1457,924
179,63,911,806
91,38,466,699
50,18,240,327
39,22,199,441
65,38,327,706
36,31,212,331
120,52,486,817
64,40,281,812
258,49,1517,948
184,45,984,825
241,51,1365,958
133,38,779,693
120,47,613,865
105,29,554,534
43,24,180,420
134,36,661,669
82,52,392,998
198,42,1066,854
101,27,506,530
121,37,683,744
110,41,600,788
124,48,651,923
42,21,196,363
104,42,578,781
89,33,402,599
72,42,409,784
124,51,634,965
3,3,12,18
13,13,56,197
111,29,637,510
260,42,1582,766
33,16,183,259
231,40,1294,759
98,24,544,395
143,49,683,988
36,33,162,589
73,32,344,561
44,16,234,273
127,45,665,885
86,31,465,557
32,14,151,225
84,63,276,811
362,49,1807,903
34,36,165,669
160,50,597,966
12,7,50,86
28,29,109,527
25,39,103,689
49,46,213,781
50,54,245,591
8,8,30,100
14,15,50,248
1,2,3,2
195,50,1060,967
65,28,303,539
153,41,836,807
114,35,516,720
29,18,121,336
120,43,638,820
59,19,279,349
110,38,588,718
53,33,235,614
117,42,689,793
194,48,904,913
42,36,171,678
217,47,1235,944
130,49,658,975
84,29,390,518
154,35,1013,664
59,44,259,898
345,47,1868,865
223,53,1209,991
141,38,696,713
422,50,2330,965
134,40,642,741
149,47,950,896
424,42,1690,800
265,44,1416,971
65,26,281,498
204,56,1340,993
262,40,1537,770
110,42,255,759
26,16,103,273
171,24,1118,440
106,41,579,778
304,47,1566,895
37,20,166,368
193,46,1156,900
41,12,177,209
44,15,243,248
29,9,127,144
66,48,298,926
171,50,1118,950
46,38,195,430
64,18,304,332
90,36,439,619
47,23,205,407
183,44,897,834
128,50,728,977
112,40,554,746
96,37,420,726
96,59,505,712
9,7,34,88
254,46,1313,919
26,26,115,460
184,42,937,851
161,41,856,784
132,27,750,513
24,11,129,167
39,29,203,520
83,56,257,646
212,37,1094,755
92,29,530,595
27,27,127,497
31,33,160,662
170,39,1049,728
99,29,535,563
181,73,954,988
59,31,302,599
62,47,378,871
234,43,1343,874
51,18,275,351
27,24,114,456
111,39,563,748
98,38,484,733
162,70,777,994
274,53,1493,995
46,44,207,830
90,49,446,861
168,34,657,630
251,47,1421,890
22,12,117,194
110,44,621,833
96,36,521,643
118,52,553,943
74,33,412,621
43,24,245,413
97,38,284,697
48,22,230,386
112,42,617,758
71,32,338,625
142,36,756,714
44,44,185,786
406,54,2580,947
240,69,928,845
182,41,1029,812
177,49,1037,910
90,30,507,579
193,44,1154,860
43,33,197,626
275,49,1417,926
111,50,585,948
180,42,1034,822
40,30,161,597
219,65,503,740
38,11,237,119
19,12,78,129
145,39,801,659
205,56,1027,858
69,55,291,883
254,50,1264,953
100,46,507,829
85,39,380,725
63,38,330,645
197,67,1001,878
36,32,155,655
40,42,180,743
26,19,107,333
43,36,197,422
99,56,495,843
64,33,332,599
22,15,96,148
87,46,360,749
247,66,1388,920
146,48,775,764
56,30,288,461
72,45,294,779
14,16,52,179
111,34,188,495
32,22,133,296
170,51,863,831
51,41,225,710
133,46,675,747
13,7,50,88
17,15,73,283
127,61,662,939
194,56,707,949
62,34,296,622
115,40,634,706
200,64,1141,761
82,39,382,670
22,21,92,365
76,41,396,763
88,37,542,533
98,47,354,898
27,14,132,229
